Ref,Val,Package,PosX,PosY,Rot,Side
"D136","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.900000,-57.490000,0.000000,top
"D137","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",123.200000,-57.490000,0.000000,top
"D138","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",130.500000,-57.490000,0.000000,top
"D139","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.800000,-57.490000,0.000000,top
"D140","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",145.100000,-57.490000,0.000000,top
"D141","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",152.500000,-57.490000,0.000000,top
"D142","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",159.800000,-57.490000,0.000000,top
"D143","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",167.120000,-57.500000,0.000000,top
"D144","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",159.800000,-51.800000,0.000000,top
"D145","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",152.500000,-51.800000,0.000000,top
"D146","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",145.100000,-51.800000,0.000000,top
"D147","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.800000,-51.800000,0.000000,top
"D148","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",130.500000,-51.800000,0.000000,top
"D149","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",123.200000,-51.800000,0.000000,top
"D150","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.900000,-51.800000,0.000000,top
"D151","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",108.600000,-51.800000,0.000000,top
"D152","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",101.300000,-51.800000,0.000000,top
"D153","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",94.000000,-51.800000,0.000000,top
"D154","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",86.700000,-51.800000,0.000000,top
"D155","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",79.400000,-51.800000,0.000000,top
"D156","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",72.000000,-51.800000,0.000000,top
"D157","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",94.000000,-46.050000,0.000000,top
"D158","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",101.300000,-46.050000,0.000000,top
"D159","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",108.600000,-46.050000,0.000000,top
"D160","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.900000,-46.050000,0.000000,top
"D161","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",123.200000,-46.050000,0.000000,top
"D162","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",130.500000,-46.050000,0.000000,top
"D163","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.800000,-46.050000,0.000000,top
"D164","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",145.100000,-46.050000,0.000000,top
